transcript_id,user_transcript,age,gender,annual_income,occupation,state,caste_category,is_differently_abled
T0001,I am a 60 year old male berojgar living in Madhya Pradesh. My annual household income is 120000 rupees.,60,Male,120000.0,berojgar,Madhya Pradesh,,FALSE
T0002,"Main Uttar Pradesh se ek daily wage worker hu, meri umar 26 saal hai aur saalana kamai 45000 rupe hai.",26,,45000.0,daily wage worker,Uttar Pradesh,,FALSE
T0003,I am a 61 year old female unemployed living in Maharashtra. My annual household income is 350000 rupees.,61,Female,350000.0,unemployed,Maharashtra,,FALSE
T0004,"Namaste, main 25 varsh ka berojgar hu West Bengal se. Meri income 0 rupaye hai, aur main General varg se hoon. Main divyang hu.",25,,0.0,berojgar,West Bengal,General,TRUE
T0005,"Hi, I am 33 years old student from Maharashtra. My family income is 45000 and I am differently abled.",33,,45000.0,kisan,Maharashtra,,TRUE
T0006,"Namaste, main 34 varsh ka berojgar hu Uttar Pradesh se. Meri income 45000 rupaye hai, aur main ST varg se hoon. Main divyang hu.",34,,45000.0,berojgar,Uttar Pradesh,ST,TRUE
T0007,"Namaste, main 63 varsh ka farmer hu Bihar se. Meri income 200000 rupaye hai, aur main General varg se hoon. Main divyang hu.",63,,200000.0,farmer,Bihar,General,TRUE
T0008,I am a 25 year old male labour living in West Bengal. My annual household income is 600000 rupees.,25,Male,600000.0,labour,West Bengal,,FALSE
T0009,"Mera naam Ramesh hai, main Tamil Nadu ka rehne wala hu. Main OBC category se ek mahila hu aur bunkar hu. Aamdani 80000 per year hai.",41,Female,80000.0,bunkar,Tamil Nadu,OBC,FALSE
T0010,"Namaste, main 51 varsh ka artisan hu Uttar Pradesh se. Meri income 350000 rupaye hai, aur main SC varg se hoon. Main divyang hu.",51,,350000.0,artisan,Uttar Pradesh,SC,TRUE
T0011,"I belong to OBC category from West Bengal. Age is 19, profession is artisan, income around 120000.",19,,120000.0,artisan,West Bengal,OBC,FALSE
T0012,"Namaste, main 20 varsh ka weaver hu Uttar Pradesh se. Meri income 45000 rupaye hai, aur main OBC varg se hoon. Main divyang hu.",20,,45000.0,weaver,Uttar Pradesh,OBC,TRUE
T0013,"Mera naam Ramesh hai, main Bihar ka rehne wala hu. Main SC category se ek purush hu aur student hu. Aamdani 350000 per year hai.",31,Male,350000.0,student,Bihar,SC,FALSE
T0014,I am a 43 year old male artisan living in Bihar. My annual household income is 0 rupees.,43,Male,0.0,artisan,Bihar,,FALSE
T0015,"Main Karnataka se ek unemployed hu, meri umar 52 saal hai aur saalana kamai 0 rupe hai.",52,,0.0,unemployed,Karnataka,,FALSE
T0016,"I belong to General category from West Bengal. Age is 28, profession is kisan, income around 0.",28,,0.0,kisan,West Bengal,General,FALSE
T0017,"Namaste, main 62 varsh ka berojgar hu Bihar se. Meri income 80000 rupaye hai, aur main SC varg se hoon. Main divyang hu.",62,,80000.0,berojgar,Bihar,SC,TRUE
T0018,"I belong to SC category from Madhya Pradesh. Age is 21, profession is labour, income around 120000.",21,,120000.0,labour,Madhya Pradesh,SC,FALSE
T0019,"Main Karnataka se ek artisan hu, meri umar 39 saal hai aur saalana kamai 120000 rupe hai.",39,,120000.0,artisan,Karnataka,,FALSE
T0020,I am a 44 year old male mazdoor living in Bihar. My annual household income is 600000 rupees.,44,Male,600000.0,mazdoor,Bihar,,FALSE
T0021,"Main Madhya Pradesh se ek mazdoor hu, meri umar 35 saal hai aur saalana kamai 600000 rupe hai.",35,,600000.0,mazdoor,Madhya Pradesh,,FALSE
T0022,"Hi, I am 58 years old student from West Bengal. My family income is 120000 and I am differently abled.",58,,120000.0,bunkar,West Bengal,,TRUE
T0023,I am a 44 year old male labour living in Maharashtra. My annual household income is 120000 rupees.,44,Male,120000.0,labour,Maharashtra,,FALSE
T0024,"I belong to SC category from Bihar. Age is 20, profession is berojgar, income around 80000.",20,,80000.0,berojgar,Bihar,SC,FALSE
T0025,"Hi, I am 62 years old student from West Bengal. My family income is 120000 and I am differently abled.",62,,120000.0,rehri wala,West Bengal,,TRUE
T0026,"Hi, I am 65 years old student from Uttar Pradesh. My family income is 200000 and I am differently abled.",65,,200000.0,labour,Uttar Pradesh,,TRUE
T0027,"I belong to General category from Rajasthan. Age is 45, profession is street vendor, income around 600000.",45,,600000.0,street vendor,Rajasthan,General,FALSE
T0028,"Hi, I am 51 years old student from Bihar. My family income is 80000 and I am differently abled.",51,,80000.0,bunkar,Bihar,,TRUE
T0029,"Hi, I am 65 years old student from Madhya Pradesh. My family income is 0 and I am differently abled.",65,,0.0,weaver,Madhya Pradesh,,TRUE
T0030,"Main Rajasthan se ek bunkar hu, meri umar 64 saal hai aur saalana kamai 600000 rupe hai.",64,,600000.0,bunkar,Rajasthan,,FALSE
T0031,"Namaste, main 29 varsh ka unemployed hu Karnataka se. Meri income 120000 rupaye hai, aur main OBC varg se hoon. Main divyang hu.",29,,120000.0,unemployed,Karnataka,OBC,TRUE
T0032,I am a 28 year old male student living in Rajasthan. My annual household income is 350000 rupees.,28,Male,350000.0,student,Rajasthan,,FALSE
T0033,"Hi, I am 55 years old student from Maharashtra. My family income is 350000 and I am differently abled.",55,,350000.0,bunkar,Maharashtra,,TRUE
T0034,"Mera naam Ramesh hai, main Tamil Nadu ka rehne wala hu. Main OBC category se ek purush hu aur artisan hu. Aamdani 0 per year hai.",49,Male,0.0,artisan,Tamil Nadu,OBC,FALSE
T0035,"I belong to General category from Uttar Pradesh. Age is 21, profession is weaver, income around 80000.",21,,80000.0,weaver,Uttar Pradesh,General,FALSE
T0036,I am a 34 year old female student living in West Bengal. My annual household income is 200000 rupees.,34,Female,200000.0,student,West Bengal,,FALSE
T0037,I am a 21 year old male weaver living in Madhya Pradesh. My annual household income is 200000 rupees.,21,Male,200000.0,weaver,Madhya Pradesh,,FALSE
T0038,"Hi, I am 54 years old student from Bihar. My family income is 600000 and I am differently abled.",54,,600000.0,bunkar,Bihar,,TRUE
T0039,"Mera naam Ramesh hai, main Karnataka ka rehne wala hu. Main General category se ek mahila hu aur weaver hu. Aamdani 0 per year hai.",39,Female,0.0,weaver,Karnataka,General,FALSE
T0040,I am a 32 year old female weaver living in Madhya Pradesh. My annual household income is 200000 rupees.,32,Female,200000.0,weaver,Madhya Pradesh,,FALSE
