id,text,language,intent
1,Maine jo application diya tha uska kya hua,hi,APPLICATION_STATUS
2,How much financial assistance will I get,en,BENEFIT_INFORMATION
3,Mujhe schemes ki list batao,hi,SCHEME_INFORMATION
4,Main handicraft ka kaam shuru karna chahti hoon,hi,START_BUSINESS
5,Mujhe officer se problem hai,hi,COMPLAINT
6,Meri problem ka solution nahi hua,hi,COMPLAINT
7,aadhaar chahiye kya,hinglish,DOCUMENT_HELP
8,Skill development scheme batao,hi,GET_TRAINING
9,Main dairy ka kaam shuru karna chahta hoon,hi,START_BUSINESS
10,Is scheme ke liye kaunse documents lagenge,hi,DOCUMENT_HELP
11,Meri application mein issue aa raha hai,hi,COMPLAINT
12,Main business loan lena chahta hoon,hi,GET_LOAN
13,Why is my application pending,en,APPLICATION_STATUS
14,business expand krna h,hinglish,EXPAND_BUSINESS
15,Mere paas income certificate nahi hai,hi,DOCUMENT_HELP
16,mera form kaha tak pahucha,hinglish,APPLICATION_STATUS
17,Mujhe guidance chahiye,hi,OTHER
18,Application verification complete hua kya,hi,APPLICATION_STATUS
19,main iske liye apply kar sakta hu kya,hinglish,CHECK_ELIGIBILITY
20,Tell me about government schemes,en,SCHEME_INFORMATION
21,Business ke liye subsidy wali scheme batao,hi,GET_SUBSIDY
22,Business management training chahiye,hi,GET_TRAINING
23,shikayat register karni hai,hinglish,COMPLAINT
24,Is scheme mein kitna benefit milega,hi,BENEFIT_INFORMATION
25,Mujhe tailoring course karna hai,hi,GET_TRAINING
26,I want to increase my shop capacity,en,EXPAND_BUSINESS
27,Kya koi meri madad karega,hi,OTHER
28,help chahiye,hinglish,OTHER
29,Ye scheme kisliye hai,hi,SCHEME_INFORMATION
30,Meri problem solve nahi hui,hi,COMPLAINT
31,I want to start working from home,en,START_BUSINESS
32,Mujhe government benefits ki jankari chahiye,hi,SCHEME_INFORMATION
33,Mera existing business grow karna hai,hi,EXPAND_BUSINESS
34,mujhe naya business krna hai,hinglish,START_BUSINESS
35,What is the status of my application,en,APPLICATION_STATUS
36,Where can I get business training,en,GET_TRAINING
37,Main apni dukaan kholna chahti hoon,hi,START_BUSINESS
38,I want a government subsidy,en,GET_SUBSIDY
39,meri shop ko bada karna hai,hinglish,EXPAND_BUSINESS
40,silai machine ke liye loan milega kya,hinglish,GET_LOAN
41,Is there a subsidy for sewing machines,en,GET_SUBSIDY
42,Kya mere business par subsidy milegi,hi,GET_SUBSIDY
